clade_name,Aeriscardovia aeriphila,Bifidobacterium,Bifidobacterium longum subsp. longum,Corynebacterium 1,Rhodococcus fascians,Brachybacterium,Sanguibacter,Bacteroidales,Bacteroides,Bacteroidaceae bacterium DJF,Bacteroides caecigallinarum,Bacteroides dorei,Bacteroides fragilis,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroides plebeius,Bacteroides salanitronis DSM 18170,Bacteroides sp. SB5,Bacteroides uniformis,Mediterranea massiliensis,uncultured Bacteroidales bacterium,Barnesiella,Odoribacter,Muribaculaceae,metagenome,Alloprevotella,uncultured Alloprevotella sp.,Paraprevotella,Prevotella 2,Massiliprevotella massiliensis,Prevotella 9,Alistipes,Alistipes,uncultured Alistipes sp.,Rikenellaceae RC9 gut group,Tannerellaceae;,Parabacteroides,Cyclobacteriaceae;,Pedobacter,Pedobacter sp. WF1,Sphingobacterium,Sphingobacterium gobiense,uncultured Sphingobacterium sp.,Sphingobacterium jejuense,Gastranaerophilales,Phaseolus acutifolius (tepary bean),Mucispirillum,Campylobacter troglodytis,Kurthia,Solibacillus,Staphylococcus,Aerococcus,Alkalibacterium,Desemzia,Enterococcus,Lactobacillus,Lactobacillus agilis,Lactobacillus alvi,Lactobacillus aviarius,Lactobacillus delbrueckii,Lactobacillus johnsonii,Lactobacillus reuteri,Lactobacillus salivarius,Streptococcus,Streptococcus salivarius subsp. salivarius,Christensenellaceae R-7 group,Christensenellaceae R-7 group,Clostridium sensu stricto 1,Clostridium perfringens,Clostridiales vadinBB60 group,Lachnospiraceae,[Eubacterium] eligens group,[Eubacterium] hallii group,[Eubacterium] xylanophilum group,[Ruminococcus] gauvreauii group,[Ruminococcus] gnavus group,[Ruminococcus] torques group,Agathobacter,Anaerostipes,Blautia,Butyrivibrio,Cellulosilyticum,Coprococcus 1,Coprococcus 2,Coprococcus 3,Dorea,Niameybacter massiliensis,Fusicatenibacter,GCA-900066575,Lachnoclostridium,Lachnospira,Lachnospiraceae ND3007 group,Lachnospiraceae NK4A136 group,Lachnospiraceae NK4A136 group,Roseburia,Roseburia,Tyzzerella 4,Romboutsia,Terrisporobacter,Ruminococcaceae,[Eubacterium] coprostanoligenes group,[Eubacterium] coprostanoligenes group,Butyricicoccus,Faecalibacterium,Fournierella,Oscillibacter,Ruminiclostridium 6,Ruminiclostridium 9,Ruminococcaceae NK4A214 group,Ruminococcaceae NK4A214 group,Ruminococcaceae UCG-002,Ruminococcaceae UCG-003,Ruminococcaceae UCG-005,Ruminococcaceae UCG-005,Ruminococcaceae UCG-010,Ruminococcaceae UCG-010,Ruminococcaceae UCG-014,Ruminococcus 1,Ruminococcus 1,Ruminococcus 2,Subdoligranulum,Catenibacterium,Holdemanella,Turicibacter,Phascolarctobacterium,Dialister,Megamonas,Megasphaera,Megasphaera elsdenii,Veillonella,Fusobacterium,Brevundimonas,Bradyrhizobium,Paracoccus,Taonella,Sphingomonas,Desulfovibrio,Desulfovibrio piger,Lawsonia,Succinivibrio,Achromobacter,Comamonas,Cupriavidus,Hydrogenophaga,Parasutterella,Sutterella,Citrobacter,Enterobacter,Escherichia-Shigella,Klebsiella,Gallibacterium,Gallibacterium anatis,Haemophilus,Acinetobacter,Acinetobacter lwoffii,Pseudomonas,Pseudomonas pertucinogena,Pseudomonas sp. FS29,Lysobacter,Anaeroplasma,Pedosphaeraceae
TA320,0,0,0,639,283,501,0,0,67,0,45,9,0,0,0,117,100,17,36,141,0,0,0,312,32,0,0,0,0,178,0,0,0,0,152,372,0,63,0,7,0,0,0,0,166,222,0,108,0,612,123,0,0,3440,127,739,0,711,0,0,0,0,19268,0,8,0,7,0,0,849,0,0,0,0,0,8476,23,24,41,0,0,0,0,0,0,0,0,89,521,0,0,11,0,0,0,0,43,0,53,369,0,232,0,549,103,0,391,35,0,0,0,0,0,0,0,222,0,0,8,163,0,0,0,274,0,0,0,0,0,0,243,48,171,25,166,178,0,0,0,87,0,41,79,10,0,0,0,2805,0,0,0,5,50,45,621,0,0,0,101,81
TA330,1768,0,0,219,327,115,126,87,149,0,1373,0,10,0,142,46,715,0,373,171,0,0,160,85,9,0,145,0,0,91,0,35,0,0,11,154,315,371,333,2032,632,113,231,7,0,0,0,0,118,24,125,178,210,1402,5961,4219,332,123,0,737,111,560,409,0,54,0,11562,0,0,501,0,0,0,0,0,155,8,0,0,0,618,0,0,0,0,534,0,0,28,0,0,0,0,0,0,0,5212,5060,206,4,0,27,3,45,0,0,171,7,0,0,0,426,0,0,0,162,12,0,0,18,0,0,259,346,0,0,0,0,0,260,464,47,212,101,260,67,177,573,0,144,0,62,112,98,0,0,0,13635,0,149,1413,0,5933,3025,6671,421,3312,128,51,112
TA340,77,0,0,12,0,9,0,387,325,0,673,0,0,0,102,144,837,0,259,578,0,0,114,75,0,0,261,0,0,29,9,32,0,0,19,236,0,0,0,0,0,0,0,166,0,0,0,0,0,0,34,11,0,620,546,671,36,28,0,80,153,84,58,0,146,0,497,0,54,857,0,10,0,0,0,65,0,0,46,0,18,0,0,0,0,24,0,19,30,0,0,0,0,0,0,0,142,511,548,17,0,0,2,25,65,0,277,39,0,0,0,700,0,10,0,305,7,0,14,43,0,0,9,703,0,0,57,0,0,125,0,0,21,0,0,230,35,1575,0,0,0,0,9,165,9,0,0,2556,0,274,1196,0,0,18,40,0,0,0,0,0
TH1110,0,0,0,0,0,0,0,0,187,0,0,0,236,0,7,0,0,0,0,0,0,0,0,0,0,0,0,73,0,50589,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,153,0,0,0,116,0,0,0,102,283,0,121,0,64,0,32,343,142,579,21,144,0,0,40,0,32,52,0,30,0,312,345,0,264,0,3357,0,130,78,0,14,12,84,0,3213,38,0,0,0,27,0,21,0,0,0,0,0,0,0,0,0,81,67,146,0,1078,784,327,1308,175,425,740,0,0,30,0,0,0,0,0,0,0,0,0,0,0,401,0,142,45,0,0,0,57,0,0,0,0,0,0,0,0
TH1120,0,0,15,0,0,0,0,0,1495,1080,0,0,365,0,7,0,0,0,0,0,15,113,0,551,1011,0,10,0,0,26978,0,179,0,216,0,187,0,0,0,0,0,0,0,0,0,0,4389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,373,39,68,0,733,878,73,206,199,50,0,26,1781,12,286,2538,0,79,77,136,47,0,40,8,44,58,161,446,255,1227,44,19,27,61,54,444,0,92,2855,232,0,138,0,455,193,2715,281,230,69,473,111,1863,581,160,1261,784,0,18,7,756,1255,0,0,0,0,24,0,0,543,0,0,283,0,0,3213,0,0,0,0,0,0,0,0,115,13,0,0,7,0,0,0,0,0,0,0,0
TH1150,0,114,10,0,0,0,0,0,24,0,0,0,16,0,0,0,0,0,0,0,0,13,0,192,0,18,0,436,0,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,106,16,10,0,144,18,0,42,75,7,0,0,0,0,1045,8,78,0,0,18,71,12,26,0,0,11,51,119,0,99,0,860,0,0,161,0,0,16,335,0,1721,25,0,0,0,8,11,116,42,41,38,9,0,84,30,0,24,202,15,26,0,2788,0,0,2668,2195,88,9,0,0,2,0,0,0,0,0,0,0,124,0,0,4,0,112,47,112,64,0,0,85,0,0,6,0,0,0,0,0
TH1180,0,0,0,0,334,0,0,0,932,0,0,3319,0,230,814,0,0,784,0,0,947,211,0,0,0,0,108,0,0,15958,330,1116,1963,0,0,187,0,257,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,12,0,0,0,44,0,76,242,764,52,0,0,2558,214,114,55,341,0,187,4044,59,854,454,0,302,86,141,225,0,625,198,158,683,277,1117,21,500,151,0,81,85,62,290,583,174,4255,457,142,24,99,605,985,4446,1516,843,272,510,0,50,66,877,1821,1678,0,169,0,8769,0,0,0,0,1600,0,450,101,217,80,438,76,0,0,0,270,0,107,163,0,0,0,55,101,385,0,0,813,35,0,873,0,0,0,0,0
TH1190,0,0,0,0,62,0,0,0,0,27,0,34,0,0,10,0,0,14,0,0,0,0,0,0,8613,148,0,1629,227,53971,0,23,22,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,5,26,86,0,4,84,0,0,339,19,17,0,0,0,123,6148,13,146,9,0,27,13,26,39,0,19,0,49,191,0,66,0,448,0,0,11,0,0,26,9,15,1926,0,0,0,0,0,0,47,0,0,0,4,0,0,0,0,17,125,108,36,0,254,411,0,78,31,118,0,126,28,96,19,56,0,0,0,175,60,0,0,25,0,274,0,0,26,0,0,0,52,0,0,215,0,0,0,0,0
TH900,0,4,3,0,0,0,0,0,136,0,0,77,0,0,0,0,0,66,0,0,0,0,0,0,0,0,19,0,0,29622,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,0,0,0,0,0,0,0,0,0,0,0,72,0,0,13,61,0,0,0,0,0,499,25,61,0,0,0,117,0,9,0,0,0,14,443,9,139,0,16,0,0,13,0,0,220,0,0,758,0,0,0,0,0,18,52,0,8,0,0,0,48,0,0,0,244,8,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,8,22,0,0,8,0,0,17,0,0,0,0,0
TH930,0,2857,282,0,0,0,0,0,1416,0,0,0,1198,0,31395,0,0,97,0,0,0,0,0,0,0,0,0,0,0,151,0,0,5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,266,21,0,0,1840,11,0,148,7722,0,0,0,135,952,848,665,659,0,0,0,0,128,20,0,538,0,135,1604,10,0,0,4768,0,44,3039,16,0,0,0,21,8724,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,377,902,22,161,0,0,2455,0,0,749,214,0,0,289,0,0,0,0,0,0,0,0,0,0,309,0,0,45,6911,11,0,0,1115,0,0,0,0,0,0,0,0
TH990,0,37,0,0,0,0,0,0,29,0,0,0,65,0,0,0,0,19,0,0,34,0,0,58,0,0,30,0,180,14016,0,22,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,84,136,0,0,498,42,0,9,153,0,0,0,624,0,392,0,20,483,13,22,70,17,24,0,0,35,0,60,11,212,0,521,0,0,0,31,0,0,89,15,1373,0,0,0,0,0,0,0,0,34,7,2,0,0,0,0,14,88,0,0,0,0,177,0,0,0,610,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,89,0,14,3567,0,0,0,35,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
